timestamp,quantization_mode,use_tensor_cores,optimize_memory,metrics_enabled,graph_mode,compact_metric,ai_running,face_loading,objects_loading,drawing_metrics,drawing_graph,fps,cpu_percent,gpu_percent,inference_time_ms
2026-01-19T20:00:49.166,fp32,1,0,1,off,fps,1,0,0,1,0,4.61,15.1,0.0,400.5
2026-01-19T20:00:49.452,fp32,1,0,1,off,fps,1,0,0,1,0,4.43,15.1,0.0,265.1
2026-01-19T20:00:49.756,fp32,1,0,1,off,fps,1,0,0,1,0,4.28,15.1,0.0,293.5
2026-01-19T20:00:50.077,fp32,1,0,1,off,fps,1,0,0,1,0,4.11,15.1,0.0,288.3
2026-01-19T20:00:50.335,fp32,1,0,1,off,fps,1,0,0,1,0,4.01,15.1,0.0,237.4
2026-01-19T20:00:50.379,fp32,1,0,1,off,fps,0,0,0,1,0,4.0,15.1,0.0,32.7
2026-01-19T20:00:50.416,fp32,1,0,1,off,fps,0,0,0,1,0,4.02,15.1,0.0,5.8
2026-01-19T20:00:50.503,fp32,1,0,1,off,fps,0,0,0,1,0,3.99,15.1,0.0,71.3
2026-01-19T20:00:50.526,fp32,1,0,1,off,fps,0,0,0,1,0,4.03,15.1,0.0,7.4
2026-01-19T20:00:50.612,fp32,1,0,1,off,fps,0,0,0,1,0,4.0,15.1,0.0,69.9
2026-01-19T20:00:50.638,fp32,1,0,1,off,fps,0,0,0,1,0,4.03,15.1,0.0,7.7
2026-01-19T20:00:50.725,fp32,1,0,1,off,fps,0,0,0,1,0,4.2,15.1,0.0,71.2
2026-01-19T20:00:50.749,fp32,1,0,1,off,fps,0,0,0,1,0,4.36,15.1,0.0,7.5
2026-01-19T20:00:50.887,fp32,1,0,1,off,fps,0,0,0,1,0,4.43,12.3,0.0,122.5
2026-01-19T20:00:50.908,fp32,1,0,1,off,fps,0,0,0,1,0,4.67,12.3,0.0,8.3
2026-01-19T20:00:51.004,fp32,1,0,1,off,fps,0,0,0,1,0,4.79,12.3,0.0,94.1
2026-01-19T20:00:51.026,fp32,1,0,1,off,fps,0,0,0,1,0,5.1,12.3,0.0,8.1
2026-01-19T20:00:51.112,fp32,1,0,1,off,fps,0,0,0,1,0,5.36,12.3,0.0,79.0
2026-01-19T20:00:51.136,fp32,1,0,1,off,fps,0,0,0,1,0,5.71,12.3,0.0,8.4
2026-01-19T20:00:51.225,fp32,1,0,1,off,fps,0,0,0,1,0,5.93,12.3,0.0,72.8
2026-01-19T20:00:51.246,fp32,1,0,1,off,fps,0,0,0,1,0,6.25,12.3,0.0,7.2
2026-01-19T20:00:51.299,fp32,1,0,1,off,fps,0,0,0,1,0,6.64,12.3,0.0,36.8
2026-01-19T20:00:51.326,fp32,1,0,1,off,fps,0,0,0,1,0,7.04,12.3,0.0,7.2
2026-01-19T20:00:51.380,fp32,1,0,1,off,fps,0,0,0,1,0,7.47,12.3,0.0,52.2
2026-01-19T20:00:51.397,fp32,1,0,1,off,fps,0,0,0,1,0,7.97,12.3,0.0,10.1
2026-01-19T20:00:51.438,fp32,1,0,1,off,fps,0,0,0,1,0,8.47,12.3,0.0,41.6
2026-01-19T20:00:51.457,fp32,1,0,1,off,fps,0,0,0,1,0,9.13,12.3,0.0,6.7
2026-01-19T20:00:51.515,fp32,1,0,1,off,fps,0,0,0,1,0,9.72,12.3,0.0,45.3
2026-01-19T20:00:51.536,fp32,1,0,1,off,fps,0,0,0,1,0,10.77,12.3,0.0,21.0
2026-01-19T20:00:51.587,fp32,1,0,1,off,fps,0,0,0,1,0,12.39,12.3,0.0,51.1
2026-01-19T20:00:51.626,fp32,1,0,1,off,fps,0,0,0,1,0,13.79,12.3,0.0,7.5
2026-01-19T20:00:51.714,fp32,1,0,1,off,fps,0,0,0,1,0,15.33,12.3,0.0,85.5
2026-01-19T20:00:51.736,fp32,1,0,1,off,fps,0,0,0,1,0,18.08,12.3,0.0,9.0
2026-01-19T20:00:51.821,fp32,1,0,1,off,fps,0,0,0,1,0,20.19,12.3,0.0,71.5
2026-01-19T20:00:51.845,fp32,1,0,1,off,fps,0,0,0,1,0,20.47,12.3,0.0,8.4
2026-01-19T20:00:51.931,fp32,1,0,1,off,fps,0,0,0,1,0,19.79,12.3,0.0,70.2
2026-01-19T20:00:51.956,fp32,1,0,1,off,fps,0,0,0,1,0,20.64,12.3,0.0,8.5
2026-01-19T20:00:52.049,fp32,1,0,1,off,fps,0,0,0,1,0,19.71,12.3,0.0,78.0
2026-01-19T20:00:52.127,fp32,1,0,1,off,fps,0,0,0,1,0,19.81,1.9,0.0,62.9
2026-01-19T20:00:52.230,fp32,1,0,1,off,fps,0,0,0,1,0,18.85,1.9,0.0,76.8
2026-01-19T20:00:52.300,fp32,1,0,1,off,fps,0,0,0,1,0,19.06,1.9,0.0,18.9
2026-01-19T20:00:52.381,fp32,1,0,1,off,fps,0,0,0,1,0,18.38,1.9,0.0,50.8
2026-01-19T20:00:52.410,fp32,1,0,1,off,fps,0,0,0,1,0,19.7,1.9,0.0,12.3
2026-01-19T20:00:52.466,fp32,1,0,1,off,fps,0,0,0,1,0,19.24,1.9,0.0,40.7
2026-01-19T20:00:52.488,fp32,1,0,1,off,fps,0,0,0,1,0,20.21,1.9,0.0,12.2
2026-01-19T20:00:52.540,fp32,1,0,1,off,fps,0,0,0,1,0,19.82,1.9,0.0,35.7
2026-01-19T20:00:52.567,fp32,1,0,1,off,fps,0,0,0,1,0,20.62,1.9,0.0,7.7
2026-01-19T20:00:52.656,fp32,1,0,1,off,fps,0,0,0,1,0,19.74,1.9,0.0,72.7
2026-01-19T20:00:52.682,fp32,1,0,1,off,fps,0,0,0,1,0,20.6,1.9,0.0,10.0
2026-01-19T20:00:52.765,fp32,1,0,1,off,fps,0,0,0,1,0,19.76,1.9,0.0,82.9
2026-01-19T20:00:52.785,fp32,1,0,1,off,fps,0,0,0,1,0,20.19,1.9,0.0,7.7
2026-01-19T20:00:52.876,fp32,1,0,1,off,fps,0,0,0,1,0,19.36,1.9,0.0,74.9
2026-01-19T20:00:52.898,fp32,1,0,1,off,fps,0,0,0,1,0,19.74,1.9,0.0,16.2
2026-01-19T20:00:52.985,fp32,1,0,1,off,fps,0,0,0,1,0,18.89,1.9,0.0,84.2
2026-01-19T20:00:53.004,fp32,1,0,1,off,fps,0,0,0,1,0,19.16,1.9,0.0,7.9
